Register,PassiveType,Aux,PP
Written,BE-pp,were,arrested
Written,BE-pp,were,arrested
Written,BE-pp,was,arrested
Written,BE-pp,was,arrested
Written,BE-pp,was,arrested
Written,BE-pp,was,arrested
Written,BE-pp,was,arrested
Written,BE-pp,were,arrested
Written,BE-pp,been,arrested
Written,BE-pp,was,arrested
Written,BE-pp,been,arrested
Written,BE-pp,was,arrested
Written,BE-pp,were,arrested
Written,BE-pp,was,arrested
Written,BE-pp,is,arrested
Written,BE-pp,was,arrested
Written,BE-pp,been,arrested
Written,BE-pp,was,arrested
Written,BE-pp,were,arrested
Written,BE-pp,was,arrested
Written,BE-pp,was,arrested
Written,BE-pp,were,arrested
Written,BE-pp,was,arrested
Written,BE-pp,was,arrested
Written,BE-pp,was,arrested
Written,BE-pp,was,arrested
Written,BE-pp,been,arrested
Written,BE-pp,were,arrested
Written,BE-pp,were,arrested
Written,BE-pp,were,arrested
Written,BE-pp,were,arrested
Written,BE-pp,was,arrested
Written,BE-pp,was,arrested
Written,BE-pp,been,arrested
Written,BE-pp,was,arrested
Written,BE-pp,be,arrested
Written,BE-pp,be,arrested
Written,BE-pp,been,arrested
Written,BE-pp,be,arrested
Written,BE-pp,was,arrested
Written,BE-pp,were,arrested
Written,BE-pp,was,arrested
Written,BE-pp,been,arrested
Written,BE-pp,was,arrested
Written,BE-pp,be,arrested
Written,BE-pp,was,arrested
Written,BE-pp,was,arrested
Written,BE-pp,was,arrested
Written,BE-pp,was,arrested
Written,BE-pp,been,arrested
Written,BE-pp,was,arrested
Written,BE-pp,been,arrested
Written,BE-pp,been,arrested
Written,BE-pp,was,arrested
Written,BE-pp,been,arrested
Written,BE-pp,were,arrested
Written,BE-pp,were,arrested
Written,BE-pp,was,arrested
Written,BE-pp,were,arrested
Written,BE-pp,been,arrested
Written,BE-pp,was,arrested
Written,BE-pp,were,arrested
Written,BE-pp,were,arrived
Written,BE-pp,was,articled
Written,BE-pp,be,articulated
Written,BE-pp,was,ashamed
Written,BE-pp,was,ashamed
Written,BE-pp,Are,ashamed
Written,BE-pp,be,ashamed
Written,BE-pp,be,ashamed
Written,BE-pp,be,ashamed
